name,description,category,price,supplier,quantity,expiry_date
Smartphone X,Latest model with advanced features,Electronics,799.99,TechGadgets Inc.,100,2025-12-31
Designer Jeans,Premium denim jeans,Clothing,129.99,FashionForward Ltd.,50,2026-06-30
Garden Toolkit,Complete set of gardening tools,Home & Garden,59.99,GreenThumb Gardens,30,2027-03-15
Bestseller Novel,Award-winning fiction book,Books,24.99,BookWorm Publishers,200,2028-01-01
Remote Control Car,High-speed RC car for kids,Toys & Games,39.99,ToyLand Emporium,75,2024-12-31
Tennis Racket Pro,Professional-grade tennis racket,Sports & Outdoors,189.99,SportsPro Gear,25,2026-09-30
Luxury Face Cream,Anti-aging moisturizer,Beauty & Personal Care,79.99,BeautyBliss Cosmetics,40,2023-11-30
Car Battery,Long-lasting automotive battery,Automotive,129.99,AutoParts Plus,60,2025-06-30
Gourmet Coffee Beans,Premium roasted coffee beans,Food & Beverages,19.99,GourmetDelights Inc.,150,2023-09-30
Ergonomic Office Chair,Comfortable chair for long work hours,Office Supplies,249.99,OfficeSupply Co.,20,2028-12-31
Leather Sofa,High-quality leather 3-seater sofa,Furniture,999.99,FurniturePlus,10,2030-01-01
Yoga Mat,Non-slip exercise mat,Health & Wellness,29.99,WellnessWorld,100,2026-03-31
Dog Food Premium,High-quality dry dog food,Pet Supplies,54.99,PetParadise,80,2024-05-31
Diamond Necklace,18K gold necklace with diamond pendant,Jewelry & Watches,1999.99,GlitzGlamour Jewelry,5,2035-12-31
Electric Guitar,Professional electric guitar,Music & Instruments,599.99,MusicMasters,15,2030-06-30
Watercolor Paint Set,High-quality artist watercolors,Art & Crafts,49.99,ArtisanCrafts Co.,40,2026-12-31
Baby Stroller,Lightweight and foldable stroller,Baby & Toddler,199.99,BabyBliss Essentials,25,2027-06-30
Travel Backpack,Durable multi-compartment backpack,Travel & Luggage,89.99,TravelGear Pro,60,2028-03-15
Pruning Shears,Sharp and ergonomic garden scissors,Gardening,34.99,GreenGarden Supplies,50,2029-01-01
Chef's Knife Set,Professional-grade kitchen knives,Kitchen & Dining,149.99,CuisineQueen Kitchenware,30,2032-12-31
All-Purpose Cleaner,Eco-friendly cleaning solution,Cleaning Supplies,9.99,GreenThumb Gardens,200,2024-09-30
Fountain Pen,Elegant writing instrument,Stationery,79.99,OfficeSupply Co.,35,2030-06-30
Wireless Earbuds,Noise-cancelling Bluetooth earphones,Electronics Accessories,129.99,TechGadgets Inc.,80,2025-12-31
Patio Furniture Set,Weather-resistant outdoor dining set,Outdoor Living,599.99,FurniturePlus,15,2028-05-31
Treadmill,Foldable home exercise machine,Fitness Equipment,799.99,SportsPro Gear,10,2029-12-31

Error processing CSV file: null value in column "created_at" of relation "products_product" violates not-null constraint DETAIL: Failing row contains (1, Smartphone X, Latest model with advanced features, 799.99, 100, 2025-12-31, null, 2024-07-28 16:47:10.953212+00, 10, 2, 23).
